COD. DEP.,DEPARTAMENTO,COD. MUN.,MUNICIPIO,GRUPO DE CULTIVO,SUBGRUPO DE CULTIVO,CULTIVO,ANO,PERIODO,AREA SEMBRADA (ha),AREA COSECHADA (Ha),PRODUCCION (t),RENDIMIENTO (t/ha),DESEMPENO (Ha cos/Ha sem),ESTADO DEL CUTIVO,CICLO DE CULTIVO
41,HUILA,4178,BARAYA,CEREALES,MAIZ,MAIZ,2008,2008A,120.0,120.0,420,3.5,3.5,GRANO SECO,TRANSITORIO
41,HUILA,41503,OPORAPA,CEREALES,MAIZ,MAIZ,2008,2008A,110.0,110.0,385,3.5,3.5,GRANO SECO,TRANSITORIO
41,HUILA,41615,RIVERA,CEREALES,MAIZ,MAIZ,2008,2008A,95.0,95.0,332,3.5,3.5,GRANO SECO,TRANSITORIO
41,HUILA,41791,TARQUI,CEREALES,MAIZ,MAIZ,2008,2008A,83.0,83.0,315,3.8,3.8,GRANO SECO,TRANSITORIO
41,HUILA,41132,CAMPOALEGRE,CEREALES,MAIZ,MAIZ,2008,2008A,70.0,70.0,256,3.67,3.67,GRANO SECO,TRANSITORIO
41,HUILA,4126,ALTAMIRA,CEREALES,MAIZ,MAIZ,2008,2008A,65.0,65.0,230,3.54,3.54,GRANO SECO,TRANSITORIO
41,HUILA,41244,ELIAS,CEREALES,MAIZ,MAIZ,2008,2008A,65.0,60.0,216,3.6,3.6,GRANO SECO,TRANSITORIO
41,HUILA,41801,TERUEL,CEREALES,MAIZ,MAIZ,2008,2008A,60.0,60.0,213,3.55,3.55,GRANO SECO,TRANSITORIO
41,HUILA,4113,AGRADO,CEREALES,MAIZ,MAIZ,2008,2008A,50.0,50.0,200,4.0,4.0,GRANO SECO,TRANSITORIO
41,HUILA,41524,PALERMO,CEREALES,MAIZ,MAIZ,2008,2008A,45.0,45.0,163,3.63,3.63,GRANO SECO,TRANSITORIO
41,HUILA,4116,AIPE,CEREALES,MAIZ,MAIZ,2008,2008A,40.0,40.0,158,3.95,3.95,GRANO SECO,TRANSITORIO
41,HUILA,41378,LA ARGENTINA,CEREALES,MAIZ,MAIZ,2008,2008A,40.0,40.0,140,3.5,3.5,GRANO SECO,TRANSITORIO
41,HUILA,41518,PAICOL,CEREALES,MAIZ,MAIZ,2008,2008A,40.0,40.0,134,3.35,3.35,GRANO SECO,TRANSITORIO
41,HUILA,41206,COLOMBIA,CEREALES,MAIZ,MAIZ,2008,2008A,30.0,30.0,108,3.6,3.6,GRANO SECO,TRANSITORIO
41,HUILA,41357,IQUIRA,CEREALES,MAIZ,MAIZ,2008,2008A,30.0,30.0,105,3.5,3.5,GRANO SECO,TRANSITORIO
41,HUILA,41349,HOBO,CEREALES,MAIZ,MAIZ,2008,2008A,15.0,15.0,54,3.6,3.6,GRANO SECO,TRANSITORIO
41,HUILA,41483,NATAGA,CEREALES,MAIZ,MAIZ,2008,2008A,15.0,15.0,52,3.5,3.5,GRANO SECO,TRANSITORIO
41,HUILA,41797,TESALIA,CEREALES,MAIZ,MAIZ,2008,2008A,5.0,5.0,16,3.2,3.2,GRANO SECO,TRANSITORIO
41,HUILA,41872,VILLAVIEJA,CEREALES,MAIZ,MAIZ,2008,2008A,4.0,4.0,15,3.8,3.8,GRANO SECO,TRANSITORIO
41,HUILA,41885,YAGUARA,CEREALES,MAIZ,MAIZ,2008,2008A,3.0,3.0,10,3.6,3.6,GRANO SECO,TRANSITORIO
41,HUILA,41551,PITALITO,CEREALES,MAIZ,MAIZ,2008,2008B,880.0,860.0,3354,3.9,3.9,GRANO SECO,TRANSITORIO
41,HUILA,41298,GARZON,CEREALES,MAIZ,MAIZ,2008,2008B,735.0,735.0,2572,3.5,3.5,GRANO SECO,TRANSITORIO
41,HUILA,41306,GIGANTE,CEREALES,MAIZ,MAIZ,2008,2008B,510.0,505.0,1767,3.5,3.5,GRANO SECO,TRANSITORIO
41,HUILA,416,ACEVEDO,CEREALES,MAIZ,MAIZ,2008,2008B,490.0,490.0,1759,3.59,3.59,GRANO SECO,TRANSITORIO
41,HUILA,41668,SAN AGUSTIN,CEREALES,MAIZ,MAIZ,2008,2008B,460.0,460.0,1490,3.24,3.24,GRANO SECO,TRANSITORIO
41,HUILA,411,NEIVA,CEREALES,MAIZ,MAIZ,2008,2008B,450.0,445.0,1517,3.41,3.41,GRANO SECO,TRANSITORIO
41,HUILA,41396,LA PLATA,CEREALES,MAIZ,MAIZ,2008,2008B,390.0,375.0,1282,3.42,3.42,GRANO SECO,TRANSITORIO
41,HUILA,4113,AGRADO,CEREALES,MAIZ,MAIZ,2008,2008B,350.0,350.0,1400,4.0,4.0,GRANO SECO,TRANSITORIO
41,HUILA,4153,PALESTINA,CEREALES,MAIZ,MAIZ,2008,2008B,345.0,345.0,1138,3.3,3.3,GRANO SECO,TRANSITORIO
41,HUILA,41615,RIVERA,CEREALES,MAIZ,MAIZ,2008,2008B,280.0,273.0,1072,3.93,3.93,GRANO SECO,TRANSITORIO
41,HUILA,412,ALGECIRAS,CEREALES,MAIZ,MAIZ,2008,2008B,235.0,224.0,913,4.8,4.8,GRANO SECO,TRANSITORIO
41,HUILA,41807,TIMANA,CEREALES,MAIZ,MAIZ,2008,2008B,230.0,230.0,765,3.33,3.33,GRANO SECO,TRANSITORIO
41,HUILA,41359,ISNOS,CEREALES,MAIZ,MAIZ,2008,2008B,210.0,205.0,688,3.36,3.36,GRANO SECO,TRANSITORIO
41,HUILA,41132,CAMPOALEGRE,CEREALES,MAIZ,MAIZ,2008,2008B,190.0,190.0,665,3.5,3.5,GRANO SECO,TRANSITORIO
41,HUILA,41799,TELLO,CEREALES,MAIZ,MAIZ,2008,2008B,190.0,185.0,625,3.38,3.38,GRANO SECO,TRANSITORIO
41,HUILA,41319,GUADALUPE,CEREALES,MAIZ,MAIZ,2008,2008B,160.0,160.0,600,3.75,3.75,GRANO SECO,TRANSITORIO
41,HUILA,41676,SANTA MARIA,CEREALES,MAIZ,MAIZ,2008,2008B,150.0,150.0,522,3.48,3.48,GRANO SECO,TRANSITORIO
41,HUILA,41548,PITAL,CEREALES,MAIZ,MAIZ,2008,2008B,140.0,140.0,560,4.0,4.0,GRANO SECO,TRANSITORIO
41,HUILA,41378,LA ARGENTINA,CEREALES,MAIZ,MAIZ,2008,2008B,120.0,115.0,402,3.5,3.5,GRANO SECO,TRANSITORIO
41,HUILA,41801,TERUEL,CEREALES,MAIZ,MAIZ,2008,2008B,106.0,104.0,289,2.78,2.78,GRANO SECO,TRANSITORIO
41,HUILA,4178,BARAYA,CEREALES,MAIZ,MAIZ,2008,2008B,100.0,100.0,340,3.4,3.4,GRANO SECO,TRANSITORIO
41,HUILA,41503,OPORAPA,CEREALES,MAIZ,MAIZ,2008,2008B,85.0,85.0,297,3.5,3.5,GRANO SECO,TRANSITORIO
41,HUILA,4177,SUAZA,CEREALES,MAIZ,MAIZ,2008,2008B,75.0,75.0,262,3.5,3.5,GRANO SECO,TRANSITORIO
41,HUILA,41524,PALERMO,CEREALES,MAIZ,MAIZ,2008,2008B,65.0,65.0,230,3.54,3.54,GRANO SECO,TRANSITORIO
41,HUILA,41244,ELIAS,CEREALES,MAIZ,MAIZ,2008,2008B,50.0,50.0,175,3.5,3.5,GRANO SECO,TRANSITORIO
41,HUILA,4116,AIPE,CEREALES,MAIZ,MAIZ,2008,2008B,45.0,45.0,162,3.6,3.6,GRANO SECO,TRANSITORIO
41,HUILA,41791,TARQUI,CEREALES,MAIZ,MAIZ,2008,2008B,45.0,42.0,168,4.0,4.0,GRANO SECO,TRANSITORIO
41,HUILA,4126,ALTAMIRA,CEREALES,MAIZ,MAIZ,2008,2008B,40.0,40.0,140,3.5,3.5,GRANO SECO,TRANSITORIO
41,HUILA,41357,IQUIRA,CEREALES,MAIZ,MAIZ,2008,2008B,40.0,35.0,122,3.5,3.5,GRANO SECO,TRANSITORIO
41,HUILA,41797,TESALIA,CEREALES,MAIZ,MAIZ,2008,2008B,37.0,35.0,157,4.5,4.5,GRANO SECO,TRANSITORIO
41,HUILA,41206,COLOMBIA,CEREALES,MAIZ,MAIZ,2008,2008B,25.0,25.0,87,3.5,3.5,GRANO SECO,TRANSITORIO
41,HUILA,41518,PAICOL,CEREALES,MAIZ,MAIZ,2008,2008B,25.0,18.0,57,3.2,3.2,GRANO SECO,TRANSITORIO
41,HUILA,41483,NATAGA,CEREALES,MAIZ,MAIZ,2008,2008B,20.0,18.0,63,3.5,3.5,GRANO SECO,TRANSITORIO
41,HUILA,4166,SALADOBLANCO,CEREALES,MAIZ,MAIZ,2008,2008B,20.0,18.0,63,3.5,3.5,GRANO SECO,TRANSITORIO
41,HUILA,41349,HOBO,CEREALES,MAIZ,MAIZ,2008,2008B,18.0,18.0,63,3.5,3.5,GRANO SECO,TRANSITORIO
41,HUILA,41872,VILLAVIEJA,CEREALES,MAIZ,MAIZ,2008,2008B,12.0,12.0,45,3.8,3.8,GRANO SECO,TRANSITORIO
41,HUILA,41885,YAGUARA,CEREALES,MAIZ,MAIZ,2008,2008B,3.0,3.0,11,3.8,3.8,GRANO SECO,TRANSITORIO
41,HUILA,41551,PITALITO,CEREALES,MAIZ,MAIZ,2009,2009A,1.4,1.3,4,3.9,3.9,GRANO SECO,TRANSITORIO
41,HUILA,416,ACEVEDO,CEREALES,MAIZ,MAIZ,2009,2009A,730.0,716.0,2699,3.77,3.77,GRANO SECO,TRANSITORIO
41,HUILA,41668,SAN AGUSTIN,CEREALES,MAIZ,MAIZ,2009,2009A,490.0,475.0,1562,3.29,3.29,GRANO SECO,TRANSITORIO
41,HUILA,411,NEIVA,CEREALES,MAIZ,MAIZ,2009,2009A,430.0,423.0,1425,3.37,3.37,GRANO SECO,TRANSITORIO
41,HUILA,41396,LA PLATA,CEREALES,MAIZ,MAIZ,2009,2009A,400.0,392.0,1372,3.5,3.5,GRANO SECO,TRANSITORIO
41,HUILA,4153,PALESTINA,CEREALES,MAIZ,MAIZ,2009,2009A,380.0,380.0,1368,3.6,3.6,GRANO SECO,TRANSITORIO
41,HUILA,41306,GIGANTE,CEREALES,MAIZ,MAIZ,2009,2009A,350.0,350.0,1326,3.79,3.79,GRANO SECO,TRANSITORIO
41,HUILA,41298,GARZON,CEREALES,MAIZ,MAIZ,2009,2009A,346.0,336.0,1273,3.79,3.79,GRANO SECO,TRANSITORIO
